dim,tier,method,coverage,N,MSE,MSE_std,MAE,MAE_std,Spearman,Kendall
coherence,pure,rating_token_expected,1.0,1600,0.9383850622774055,1.418785633009484,0.7678655040102805,0.5907501554123943,0.4314403384524394,0.31287609303856057
coherence,digit_plus,rating_token_expected,1.0,1600,0.9383850622774055,1.418785633009484,0.7678655040102805,0.5907501554123943,0.4314403384524394,0.31287609303856057
coherence,digit_word,rating_token_expected,1.0,1600,0.9544479201928747,1.511758761438439,0.7708049678782575,0.6004439647326075,0.42702651829281413,0.30996837765103236
consistency,pure,rating_token_expected,0.92,1472,1.12338538107362,2.429481784364249,0.7752767855312703,0.7229705199667327,0.3512221856673078,0.2804570806756906
consistency,digit_plus,rating_token_expected,0.92,1472,1.12338538107362,2.429481784364249,0.7752767855312703,0.7229705199667327,0.3512221856673078,0.2804570806756906
consistency,digit_word,rating_token_expected,0.93875,1502,1.3187543407460718,2.723056532817813,0.8298610426594712,0.7940433032470052,0.34405780168583083,0.27400417126905213
fluency,pure,rating_token_expected,0.936875,1499,8.108407711410164,5.844351697281611,2.59421509417864,1.1744683707874604,0.11129481317989032,0.0871094613834856
fluency,digit_plus,rating_token_expected,0.936875,1499,8.108407711410164,5.844351697281611,2.59421509417864,1.1744683707874604,0.11129481317989032,0.0871094613834856
fluency,digit_word,rating_token_expected,0.936875,1499,8.108757054796659,5.844070849685161,2.594458739946831,1.1740785698694909,0.11242607997538744,0.08803488568227762
relevance,pure,rating_token_expected,1.0,1600,0.5173068377352397,0.8315472459104254,0.5609716902390613,0.4502713800397179,0.47905041507478663,0.3476295220931152
relevance,digit_plus,rating_token_expected,1.0,1600,0.5173068377352397,0.8315472459104254,0.5609716902390613,0.4502713800397179,0.47905041507478663,0.3476295220931152
relevance,digit_word,rating_token_expected,1.0,1600,0.5173068377354327,0.8315472459100044,0.5609716902393234,0.4502713800396058,0.47905041507478663,0.3476295220931152
