doc_id,gold,raw_text,pure_found_rating_token,pure_rating_gen_step,pure_rating_probs_json,pure_first_probs_json,digit_plus_found_rating_token,digit_plus_rating_gen_step,digit_plus_rating_probs_json,digit_plus_first_probs_json,digit_word_found_rating_token,digit_word_rating_gen_step,digit_word_rating_probs_json,digit_word_first_probs_json
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,1.3333333333333333,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for coherence. The summary covers the main topic of Paul Merson's criticism of Andros Townsend, but it lacks a clear and logical structure. The sentences are short and disconnected, and the summary jumps abruptly from Merson's initial criticism to Townsend's response without providing a clear connection between the two. Additionally, the summary does not provide enough context about the context of Merson's criticism, making it difficult to understand the significance of the events. Overall, the summary could be improved by providing a clearer and more logical organization of the information.",1,13,"{""1"": 0.0002327579859411344, ""2"": 0.29379111528396606, ""3"": 0.6724945306777954, ""4"": 0.03348153084516525, ""5"": 8.778950899568372e-08}","{""1"": 0.7370193600654602, ""2"": 0.04357524216175079, ""3"": 0.030420424416661263, ""4"": 0.17505745589733124, ""5"": 0.01392748486250639}",1,13,"{""1"": 0.0002327579859411344, ""2"": 0.29379111528396606, ""3"": 0.6724945306777954, ""4"": 0.03348153084516525, ""5"": 8.778950899568372e-08}","{""1"": 0.7370193600654602, ""2"": 0.04357524216175079, ""3"": 0.030420424416661263, ""4"": 0.17505745589733124, ""5"": 0.01392748486250639}",1,13,"{""1"": 0.0002327579859411344, ""2"": 0.29379111528396606, ""3"": 0.6724945306777954, ""4"": 0.03348153084516525, ""5"": 8.778950899568372e-08}","{""1"": 0.736853837966919, ""2"": 0.043695442378520966, ""3"": 0.030468283221125603, ""4"": 0.17504015564918518, ""5"": 0.013942320831120014}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.3333333333333335,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for coherence. The summary covers the main topic of the row between Paul Merson and Andros Townsend, and mentions the key points of the controversy, including Townsend's appearance for Tottenham and England. However, the summary lacks a clear logical structure and does not build coherently from sentence to sentence. The sentences are short and disconnected, and the reader is left wondering what the significance of the events is and how they relate to each other. A more coherent summary would provide a clearer narrative thread and help the reader understand the context and implications of the controversy",1,13,"{""1"": 4.6336324885487556e-05, ""2"": 0.06323897838592529, ""3"": 0.7125113606452942, ""4"": 0.22420163452625275, ""5"": 1.6616335187791265e-06}","{""1"": 0.5987972617149353, ""2"": 0.05071252956986427, ""3"": 0.04839023947715759, ""4"": 0.28285178542137146, ""5"": 0.01924830675125122}",1,13,"{""1"": 4.6336324885487556e-05, ""2"": 0.06323897838592529, ""3"": 0.7125113606452942, ""4"": 0.22420163452625275, ""5"": 1.6616335187791265e-06}","{""1"": 0.5987972617149353, ""2"": 0.05071252956986427, ""3"": 0.04839023947715759, ""4"": 0.28285178542137146, ""5"": 0.01924830675125122}",1,13,"{""1"": 4.6336324885487556e-05, ""2"": 0.06323897838592529, ""3"": 0.7125113606452942, ""4"": 0.22420163452625275, ""5"": 1.6616335187791265e-06}","{""1"": 0.5985881686210632, ""2"": 0.050888095051050186, ""3"": 0.04847697168588638, ""4"": 0.2827729880809784, ""5"": 0.01927374303340912}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.3333333333333335,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for coherence. The summary covers the main topic of the row between Paul Merson and Andros Townsend, and it mentions the key points of the controversy, including Merson's initial criticism of Townsend and Townsend's response on Twitter. However, the summary is quite brief and lacks a clear structure or organization. It jumps abruptly from Merson's initial criticism to Townsend's response without providing much context or connecting the two events. Additionally, the summary does not provide much background information on the controversy or the context of the game between Tottenham and Burnley. Overall",1,13,"{""1"": 3.6731021282321308e-06, ""2"": 0.008661658503115177, ""3"": 0.5034106969833374, ""4"": 0.487922340631485, ""5"": 1.5797816104168305e-06}","{""1"": 0.7038814425468445, ""2"": 0.04430001229047775, ""3"": 0.036726001650094986, ""4"": 0.1985388845205307, ""5"": 0.01655370555818081}",1,13,"{""1"": 3.6731021282321308e-06, ""2"": 0.008661658503115177, ""3"": 0.5034106969833374, ""4"": 0.487922340631485, ""5"": 1.5797816104168305e-06}","{""1"": 0.7038814425468445, ""2"": 0.04430001229047775, ""3"": 0.036726001650094986, ""4"": 0.1985388845205307, ""5"": 0.01655370555818081}",1,13,"{""1"": 3.6731021282321308e-06, ""2"": 0.008661658503115177, ""3"": 0.5034106969833374, ""4"": 0.487922340631485, ""5"": 1.5797816104168305e-06}","{""1"": 0.7037272453308105, ""2"": 0.044416189193725586, ""3"": 0.03677837550640106, ""4"": 0.19851014018058777, ""5"": 0.016567986458539963}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,1.6666666666666667,"Based on the evaluation criteria, I would rate the summary a 2 out of 5 for coherence. The summary only covers the main topic of the row between Paul Merson and Andros Townsend, but it lacks coherence in terms of presenting the key points in a clear and logical order. The summary jumps abruptly from mentioning the 0-0 draw with Burnley to stating that Townsend was brought on in the 83rd minute, without providing any context or explanation for why Merson restarted his row with Townsend. The summary also fails to mention the previous controversy between the two, which is an important part of the story. Overall, the",1,13,"{""1"": 0.001214032294228673, ""2"": 0.5295736789703369, ""3"": 0.45296838879585266, ""4"": 0.016243573278188705, ""5"": 3.79610327172486e-07}","{""1"": 0.6917350888252258, ""2"": 0.05590077117085457, ""3"": 0.04026380926370621, ""4"": 0.19818542897701263, ""5"": 0.013914800249040127}",1,13,"{""1"": 0.001214032294228673, ""2"": 0.5295736789703369, ""3"": 0.45296838879585266, ""4"": 0.016243573278188705, ""5"": 3.79610327172486e-07}","{""1"": 0.6917350888252258, ""2"": 0.05590077117085457, ""3"": 0.04026380926370621, ""4"": 0.19818542897701263, ""5"": 0.013914800249040127}",1,13,"{""1"": 0.001214032294228673, ""2"": 0.5295736789703369, ""3"": 0.45296838879585266, ""4"": 0.016243573278188705, ""5"": 3.79610327172486e-07}","{""1"": 0.6915388107299805, ""2"": 0.05606330558657646, ""3"": 0.04032277688384056, ""4"": 0.1981458067893982, ""5"": 0.013929357752203941}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.3333333333333335,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for coherence. The summary covers the main topic of Paul Merson's row with Andros Townsend, but it lacks a clear and logical structure. The summary jumps abruptly from Merson's initial criticism of Townsend to the recent game against Burnley, without providing a clear connection between the two events. Additionally, the summary does not provide any context or background information about the initial controversy or the significance of Townsend's appearance in the England team. Overall, the summary is a collection of related information, but it does not build a coherent body of information about the",1,13,"{""1"": 2.9300583264557645e-05, ""2"": 0.05465836077928543, ""3"": 0.7545353770256042, ""4"": 0.19077642261981964, ""5"": 5.408679157881124e-07}","{""1"": 0.6944031119346619, ""2"": 0.05354661867022514, ""3"": 0.03350861370563507, ""4"": 0.2020828127861023, ""5"": 0.01645887829363346}",1,13,"{""1"": 2.9300583264557645e-05, ""2"": 0.05465836077928543, ""3"": 0.7545353770256042, ""4"": 0.19077642261981964, ""5"": 5.408679157881124e-07}","{""1"": 0.6944031119346619, ""2"": 0.05354661867022514, ""3"": 0.03350861370563507, ""4"": 0.2020828127861023, ""5"": 0.01645887829363346}",1,13,"{""1"": 2.9300583264557645e-05, ""2"": 0.05465836077928543, ""3"": 0.7545353770256042, ""4"": 0.19077642261981964, ""5"": 5.408679157881124e-07}","{""1"": 0.694121241569519, ""2"": 0.053790051490068436, ""3"": 0.03359005227684975, ""4"": 0.20201775431632996, ""5"": 0.016480891034007072}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.0,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for coherence. The summary covers the main topic of the row between Paul Merson and Andros Townsend, and it mentions the key points of their disagreement. However, the summary is quite brief and lacks a clear structure or organization. It simply presents a series of statements without building a coherent narrative or connecting the dots between the different events. The summary could be improved by providing more context and explaining the significance of the events, as well as using transitional phrases to connect the different sentences.",1,13,"{""1"": 0.00019049824913963675, ""2"": 0.24423669278621674, ""3"": 0.7067222595214844, ""4"": 0.0488504096865654, ""5"": 1.8930052192445146e-07}","{""1"": 0.7312959432601929, ""2"": 0.04823419824242592, ""3"": 0.0264301598072052, ""4"": 0.17643336951732635, ""5"": 0.017606280744075775}",1,13,"{""1"": 0.00019049824913963675, ""2"": 0.24423669278621674, ""3"": 0.7067222595214844, ""4"": 0.0488504096865654, ""5"": 1.8930052192445146e-07}","{""1"": 0.7312959432601929, ""2"": 0.04823419824242592, ""3"": 0.0264301598072052, ""4"": 0.17643336951732635, ""5"": 0.017606280744075775}",1,13,"{""1"": 0.00019049824913963675, ""2"": 0.24423669278621674, ""3"": 0.7067222595214844, ""4"": 0.0488504096865654, ""5"": 1.8930052192445146e-07}","{""1"": 0.7310212850570679, ""2"": 0.04845023900270462, ""3"": 0.026497596874833107, ""4"": 0.17640073597431183, ""5"": 0.01763012446463108}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.3333333333333335,"Based on the summary, I would rate the coherence as a 3 out of 5.

The summary covers the main topic of Paul Merson's row with Andros Townsend, but it only presents a brief and disjointed account of the situation. The summary jumps abruptly from Merson's initial criticism of Townsend to his latest tweet, without providing any context or explanation for the reason behind Merson's renewed criticism. The summary also lacks a clear structure and organization, making it difficult to follow the sequence of events. Overall, while the summary covers the main points, it could be improved by providing more context and a clearer narrative flow.",1,13,"{""1"": 0.00032731922692619264, ""2"": 0.32682690024375916, ""3"": 0.6299753189086914, ""4"": 0.04287036135792732, ""5"": 1.4660673741673236e-07}","{""1"": 0.7826849818229675, ""2"": 0.03806490823626518, ""3"": 0.02237720601260662, ""4"": 0.14253751933574677, ""5"": 0.01433537621051073}",1,13,"{""1"": 0.00032731922692619264, ""2"": 0.32682690024375916, ""3"": 0.6299753189086914, ""4"": 0.04287036135792732, ""5"": 1.4660673741673236e-07}","{""1"": 0.7826849818229675, ""2"": 0.03806490823626518, ""3"": 0.02237720601260662, ""4"": 0.14253751933574677, ""5"": 0.01433537621051073}",1,13,"{""1"": 0.00032731922692619264, ""2"": 0.32682690024375916, ""3"": 0.6299753189086914, ""4"": 0.04287036135792732, ""5"": 1.4660673741673236e-07}","{""1"": 0.7823294997215271, ""2"": 0.03832891955971718, ""3"": 0.022457925602793694, ""4"": 0.1425217092037201, ""5"": 0.014362026937305927}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.3333333333333335,"Based on the summary, I would rate the coherence as a 3 out of 5. The summary covers the main topic of Paul Merson criticizing Andros Townsend's call-up to the England squad and Townsend's response, but it lacks a clear and logical order. The summary jumps abruptly from Merson's initial criticism to Townsend's response without providing context or connecting the two events. Additionally, the summary does not provide enough information about the context of the game against Burnley, which is mentioned in the original article. Overall, the summary is somewhat disjointed and could be improved by providing more context and a clearer structure.",1,13,"{""1"": 2.1942492821835913e-05, ""2"": 0.06339720636606216, ""3"": 0.7844985723495483, ""4"": 0.15208198130130768, ""5"": 3.437553743879107e-07}","{""1"": 0.836579442024231, ""2"": 0.025861594825983047, ""3"": 0.0172275360673666, ""4"": 0.11146342754364014, ""5"": 0.008867975324392319}",1,13,"{""1"": 2.1942492821835913e-05, ""2"": 0.06339720636606216, ""3"": 0.7844985723495483, ""4"": 0.15208198130130768, ""5"": 3.437553743879107e-07}","{""1"": 0.836579442024231, ""2"": 0.025861594825983047, ""3"": 0.0172275360673666, ""4"": 0.11146342754364014, ""5"": 0.008867975324392319}",1,13,"{""1"": 2.1942492821835913e-05, ""2"": 0.06339720636606216, ""3"": 0.7844985723495483, ""4"": 0.15208198130130768, ""5"": 3.437553743879107e-07}","{""1"": 0.8362639546394348, ""2"": 0.026044214144349098, ""3"": 0.017313171178102493, ""4"": 0.11149026453495026, ""5"": 0.00888837594538927}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.666666666666667,"Based on the evaluation criteria, I would rate the summary a 2 out of 5 for coherence. The summary only mentions one key point from the original article, which is Paul Merson's criticism of Andros Townsend's call-up to the England squad. The summary does not provide any context or additional information to support this point, and it does not present the information in a clear and logical order. The summary seems to be a single sentence that is not well-structured or well-organized, which aligns with the lowest score on the coherence scale.",1,13,"{""1"": 0.039655111730098724, ""2"": 0.8747777938842773, ""3"": 0.08264835178852081, ""4"": 0.0029178436379879713, ""5"": 9.052674840859254e-07}","{""1"": 0.8732052445411682, ""2"": 0.023636585101485252, ""3"": 0.012553294189274311, ""4"": 0.08249978721141815, ""5"": 0.008105017244815826}",1,13,"{""1"": 0.039655111730098724, ""2"": 0.8747777938842773, ""3"": 0.08264835178852081, ""4"": 0.0029178436379879713, ""5"": 9.052674840859254e-07}","{""1"": 0.8732052445411682, ""2"": 0.023636585101485252, ""3"": 0.012553294189274311, ""4"": 0.08249978721141815, ""5"": 0.008105017244815826}",1,13,"{""1"": 0.039655111730098724, ""2"": 0.8747777938842773, ""3"": 0.08264835178852081, ""4"": 0.0029178436379879713, ""5"": 9.052674840859254e-07}","{""1"": 0.8729373812675476, ""2"": 0.02379981242120266, ""3"": 0.012618413195014, ""4"": 0.08252356946468353, ""5"": 0.008120802231132984}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.333333333333333,"Based on the evaluation criteria, I would rate the summary a 2 out of 5 for coherence. The summary only covers a small part of the main topic and key points of the news article, and it does not present them in a clear and logical order. The summary only mentions Paul Merson's tweet about Andros Townsend's appearance for Tottenham, but it does not provide any context or background information about their previous disagreement or the significance of Townsend's appearance for Tottenham. The summary is more like a fragmented sentence that does not build upon itself to create a coherent body of information about the topic.",1,13,"{""1"": 0.023673687130212784, ""2"": 0.9309812188148499, ""3"": 0.04492475837469101, ""4"": 0.0004202582349535078, ""5"": 8.891556291246161e-08}","{""1"": 0.7115307450294495, ""2"": 0.05486736074090004, ""3"": 0.03890678659081459, ""4"": 0.18273620307445526, ""5"": 0.011958964169025421}",1,13,"{""1"": 0.023673687130212784, ""2"": 0.9309812188148499, ""3"": 0.04492475837469101, ""4"": 0.0004202582349535078, ""5"": 8.891556291246161e-08}","{""1"": 0.7115307450294495, ""2"": 0.05486736074090004, ""3"": 0.03890678659081459, ""4"": 0.18273620307445526, ""5"": 0.011958964169025421}",1,13,"{""1"": 0.023673687130212784, ""2"": 0.9309812188148499, ""3"": 0.04492475837469101, ""4"": 0.0004202582349535078, ""5"": 8.891556291246161e-08}","{""1"": 0.7113695740699768, ""2"": 0.05500444397330284, ""3"": 0.038954995572566986, ""4"": 0.1826982945203781, ""5"": 0.011972686275839806}"
