doc_id,gold,raw_text,pure_found_rating_token,pure_rating_gen_step,pure_rating_probs_json,pure_first_probs_json,digit_plus_found_rating_token,digit_plus_rating_gen_step,digit_plus_rating_probs_json,digit_plus_first_probs_json,digit_word_found_rating_token,digit_word_rating_gen_step,digit_word_rating_probs_json,digit_word_first_probs_json
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,1.6666666666666667,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 in terms of relevance. The summary includes some important information from the source document, such as Paul Merson's criticism of Andros Townsend and Townsend's response. However, the summary also includes some redundant information, such as the score of the Tottenham-Burnley game and the fact that Merson was brought on with only seven minutes remaining. Additionally, the summary does not fully capture the context of Merson's initial criticism of Townsend, which was related to Townsend's inclusion in the England squad. Overall, the summary could be improved by focusing more on",1,13,"{""1"": 0.0001254570670425892, ""2"": 0.07026918977499008, ""3"": 0.5614138245582581, ""4"": 0.3681841790676117, ""5"": 7.302477115445072e-06}","{""1"": 0.8183422684669495, ""2"": 0.021469978615641594, ""3"": 0.00867465604096651, ""4"": 0.14220654964447021, ""5"": 0.009306547231972218}",1,13,"{""1"": 0.0001254570670425892, ""2"": 0.07026918977499008, ""3"": 0.5614138245582581, ""4"": 0.3681841790676117, ""5"": 7.302477115445072e-06}","{""1"": 0.8183422684669495, ""2"": 0.021469978615641594, ""3"": 0.00867465604096651, ""4"": 0.14220654964447021, ""5"": 0.009306547231972218}",1,13,"{""1"": 0.0001254570670425892, ""2"": 0.07026918977499008, ""3"": 0.5614138245582581, ""4"": 0.3681841790676117, ""5"": 7.302477115445072e-06}","{""1"": 0.8181954622268677, ""2"": 0.021552979946136475, ""3"": 0.008707410655915737, ""4"": 0.14222797751426697, ""5"": 0.009316199459135532}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.6666666666666665,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 in terms of relevance. The summary accurately selects the main points from the source document, including the restart of the row between Paul Merson and Andros Townsend, the timing of Townsend's substitution in the Tottenham game, and his goal for England against Italy. However, the summary does not include Merson's subsequent apology and Townsend's response on Twitter, which are important details in the original article. Overall, the summary is concise and covers the main points, but could be improved by including more relevant information.",1,13,"{""1"": 7.790512427163776e-06, ""2"": 0.0029067229479551315, ""3"": 0.13788242638111115, ""4"": 0.8579332828521729, ""5"": 0.0012698532082140446}","{""1"": 0.6889707446098328, ""2"": 0.027562299743294716, ""3"": 0.012135515920817852, ""4"": 0.26150378584861755, ""5"": 0.009827638976275921}",1,13,"{""1"": 7.790512427163776e-06, ""2"": 0.0029067229479551315, ""3"": 0.13788242638111115, ""4"": 0.8579332828521729, ""5"": 0.0012698532082140446}","{""1"": 0.6889707446098328, ""2"": 0.027562299743294716, ""3"": 0.012135515920817852, ""4"": 0.26150378584861755, ""5"": 0.009827638976275921}",1,13,"{""1"": 7.790512427163776e-06, ""2"": 0.0029067229479551315, ""3"": 0.13788242638111115, ""4"": 0.8579332828521729, ""5"": 0.0012698532082140446}","{""1"": 0.6888331174850464, ""2"": 0.027659952640533447, ""3"": 0.01217369269579649, ""4"": 0.2614964544773102, ""5"": 0.00983679760247469}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.6666666666666665,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 in terms of relevance. The summary accurately selects the main points from the source document, including the restart of the row between Paul Merson and Andros Townsend, the timing of Townsend's substitution in the Tottenham game, and his response to Merson on Twitter after scoring for England. The summary does not contain any redundant information, but it does not fully capture the context of the initial criticism and apology between the two individuals.",1,13,"{""1"": 6.281468358793063e-07, ""2"": 0.00015370245091617107, ""3"": 0.04328855872154236, ""4"": 0.954930305480957, ""5"": 0.0016268383478745818}","{""1"": 0.756226658821106, ""2"": 0.023560961708426476, ""3"": 0.010619756765663624, ""4"": 0.19727350771427155, ""5"": 0.012319132685661316}",1,13,"{""1"": 6.281468358793063e-07, ""2"": 0.00015370245091617107, ""3"": 0.04328855872154236, ""4"": 0.954930305480957, ""5"": 0.0016268383478745818}","{""1"": 0.756226658821106, ""2"": 0.023560961708426476, ""3"": 0.010619756765663624, ""4"": 0.19727350771427155, ""5"": 0.012319132685661316}",1,13,"{""1"": 6.281480295911024e-07, ""2"": 0.00015370245091617107, ""3"": 0.04328855872154236, ""4"": 0.954930305480957, ""5"": 0.0016268383478745818}","{""1"": 0.7560996413230896, ""2"": 0.023637747392058372, ""3"": 0.010651462711393833, ""4"": 0.19728252291679382, ""5"": 0.012328581884503365}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.6666666666666665,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for relevance. The summary does include some important information from the source document, such as the fact that Paul Merson restarted his row with Andros Townsend and that Townsend was brought on with only seven minutes remaining in the game. However, the summary lacks context and does not provide a clear understanding of the main points of the article. It also does not mention the controversy surrounding Townsend's call-up to the England squad, which is a significant part of the original article. Additionally, the summary is quite brief and does not provide any additional insights or analysis,",1,13,"{""1"": 0.0013961357763037086, ""2"": 0.2922057509422302, ""3"": 0.5291162729263306, ""4"": 0.17723175883293152, ""5"": 5.006582068745047e-05}","{""1"": 0.7560787200927734, ""2"": 0.032704759389162064, ""3"": 0.012220874428749084, ""4"": 0.19116663932800293, ""5"": 0.007828985340893269}",1,13,"{""1"": 0.0013961357763037086, ""2"": 0.2922057509422302, ""3"": 0.5291162729263306, ""4"": 0.17723175883293152, ""5"": 5.006582068745047e-05}","{""1"": 0.7560787200927734, ""2"": 0.032704759389162064, ""3"": 0.012220874428749084, ""4"": 0.19116663932800293, ""5"": 0.007828985340893269}",1,13,"{""1"": 0.0013961357763037086, ""2"": 0.2922057509422302, ""3"": 0.5291162729263306, ""4"": 0.17723175883293152, ""5"": 5.006582068745047e-05}","{""1"": 0.7559731602668762, ""2"": 0.032784122973680496, ""3"": 0.012245988473296165, ""4"": 0.19116255640983582, ""5"": 0.007834166288375854}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 in terms of relevance. The summary accurately selects the main points from the source document, including the initial controversy between Merson and Townsend, the context of Townsend's call-up to the England squad, and the recent game between Tottenham and Burnley. However, the summary does not include the additional details about Townsend's goal for England against Italy, Merson's apology and admission of being wrong, and Townsend's response on Twitter. These details are important to the story and provide context to the ongoing feud between the two. Overall, the summary is concise and",1,13,"{""1"": 1.7558802937855944e-05, ""2"": 0.008153319358825684, ""3"": 0.21027685701847076, ""4"": 0.7812733054161072, ""5"": 0.00027899121050722897}","{""1"": 0.738850474357605, ""2"": 0.034556496888399124, ""3"": 0.016070261597633362, ""4"": 0.19577589631080627, ""5"": 0.014746902510523796}",1,13,"{""1"": 1.7558802937855944e-05, ""2"": 0.008153319358825684, ""3"": 0.21027685701847076, ""4"": 0.7812733054161072, ""5"": 0.00027899121050722897}","{""1"": 0.738850474357605, ""2"": 0.034556496888399124, ""3"": 0.016070261597633362, ""4"": 0.19577589631080627, ""5"": 0.014746902510523796}",1,13,"{""1"": 1.7558802937855944e-05, ""2"": 0.008153319358825684, ""3"": 0.21027685701847076, ""4"": 0.7812733054161072, ""5"": 0.00027899121050722897}","{""1"": 0.7386785745620728, ""2"": 0.034679241478443146, ""3"": 0.016114169731736183, ""4"": 0.195768803358078, ""5"": 0.014759170822799206}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.0,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 in terms of relevance. The summary includes some important information from the source document, such as Paul Merson's initial criticism of Andros Townsend and his subsequent dig at Townsend after the Tottenham game. However, the summary also includes some redundant information, such as the fact that the game ended in a 0-0 draw, which is not crucial to understanding the main points of the article. Additionally, the summary does not fully capture the context of Merson's initial criticism, including the fact that Townsend had scored a goal for England in a friendly match",1,13,"{""1"": 0.0002486064622644335, ""2"": 0.0957021564245224, ""3"": 0.5255082249641418, ""4"": 0.37850940227508545, ""5"": 3.160676351399161e-05}","{""1"": 0.8402494192123413, ""2"": 0.0238360408693552, ""3"": 0.008700549602508545, ""4"": 0.11550614982843399, ""5"": 0.011707870289683342}",1,13,"{""1"": 0.0002486064622644335, ""2"": 0.0957021564245224, ""3"": 0.5255082249641418, ""4"": 0.37850940227508545, ""5"": 3.160676351399161e-05}","{""1"": 0.8402494192123413, ""2"": 0.0238360408693552, ""3"": 0.008700549602508545, ""4"": 0.11550614982843399, ""5"": 0.011707870289683342}",1,13,"{""1"": 0.0002486064622644335, ""2"": 0.0957021564245224, ""3"": 0.5255082249641418, ""4"": 0.37850940227508545, ""5"": 3.160676351399161e-05}","{""1"": 0.8400319814682007, ""2"": 0.023972149938344955, ""3"": 0.008744118735194206, ""4"": 0.11552869528532028, ""5"": 0.011723150499165058}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.0,"Based on the evaluation criteria, I would rate the summary a 3 out of 5 for relevance. The summary includes some important information from the source document, such as Paul Merson's tweet and his initial criticism of Andros Townsend. However, it lacks some context and important details from the source document, such as Townsend's response to Merson's criticism and the fact that Merson later admitted his mistake and apologized. The summary also includes some redundant information, such as the hashtag ""#RubberDub #7minutes"" which is not crucial to the main points of the article. Overall, the summary could be improved by including more relevant",1,13,"{""1"": 0.0007413543644361198, ""2"": 0.20237016677856445, ""3"": 0.567561149597168, ""4"": 0.22931542992591858, ""5"": 1.1982877367699984e-05}","{""1"": 0.8094953894615173, ""2"": 0.025024330243468285, ""3"": 0.010110744275152683, ""4"": 0.14288441836833954, ""5"": 0.012485101819038391}",1,13,"{""1"": 0.0007413543644361198, ""2"": 0.20237016677856445, ""3"": 0.567561149597168, ""4"": 0.22931542992591858, ""5"": 1.1982877367699984e-05}","{""1"": 0.8094953894615173, ""2"": 0.025024330243468285, ""3"": 0.010110744275152683, ""4"": 0.14288441836833954, ""5"": 0.012485101819038391}",1,13,"{""1"": 0.0007413543644361198, ""2"": 0.20237016677856445, ""3"": 0.567561149597168, ""4"": 0.22931542992591858, ""5"": 1.1982877367699984e-05}","{""1"": 0.809242308139801, ""2"": 0.025188537314534187, ""3"": 0.010162783786654472, ""4"": 0.14290432631969452, ""5"": 0.01250209379941225}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.6666666666666665,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 in terms of relevance. The summary accurately selects the main points from the source document, including Merson's criticism of Townsend's call-up to the England squad, Townsend's response on Twitter, and the fact that Townsend was brought on in the 83rd minute against Burnley. The summary does not contain any redundant information, but it does not fully capture the context of Merson's initial criticism and Townsend's subsequent goal for England.",1,13,"{""1"": 6.534741714858683e-06, ""2"": 0.0032300660386681557, ""3"": 0.1936887800693512, ""4"": 0.8028176426887512, ""5"": 0.00025698248646222055}","{""1"": 0.8360525965690613, ""2"": 0.014841710217297077, ""3"": 0.005502783227711916, ""4"": 0.13648183643817902, ""5"": 0.00712113082408905}",1,13,"{""1"": 6.534741714858683e-06, ""2"": 0.0032300660386681557, ""3"": 0.1936887800693512, ""4"": 0.8028176426887512, ""5"": 0.00025698248646222055}","{""1"": 0.8360525965690613, ""2"": 0.014841710217297077, ""3"": 0.005502783227711916, ""4"": 0.13648183643817902, ""5"": 0.00712113082408905}",1,13,"{""1"": 6.534741714858683e-06, ""2"": 0.0032300660386681557, ""3"": 0.1936887800693512, ""4"": 0.8028176426887512, ""5"": 0.00025698248646222055}","{""1"": 0.8358383178710938, ""2"": 0.014949264004826546, ""3"": 0.005542759783565998, ""4"": 0.1365356296300888, ""5"": 0.007134013809263706}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,2.6666666666666665,"Based on the evaluation criteria, I would rate the summary as follows:

Relevance: 2

The summary only mentions one main point from the source document, which is Paul Merson's criticism of Andros Townsend's call-up to the England squad. However, it does not provide any context or additional information about the situation, such as Merson's previous criticism of Townsend or Townsend's response. The summary also does not mention the actual game between Tottenham and Burnley, which is a significant part of the original article. Overall, the summary is not very comprehensive and does not provide a clear understanding of the situation.",1,18,"{""1"": 0.12537425756454468, ""2"": 0.8567776679992676, ""3"": 0.017506171017885208, ""4"": 0.00034131595748476684, ""5"": 5.724577931687236e-07}","{""1"": 0.8703603744506836, ""2"": 0.01999475434422493, ""3"": 0.005552342161536217, ""4"": 0.09765172004699707, ""5"": 0.006440829019993544}",1,18,"{""1"": 0.12537425756454468, ""2"": 0.8567776679992676, ""3"": 0.017506171017885208, ""4"": 0.00034131595748476684, ""5"": 5.724577931687236e-07}","{""1"": 0.8703603744506836, ""2"": 0.01999475434422493, ""3"": 0.005552342161536217, ""4"": 0.09765172004699707, ""5"": 0.006440829019993544}",1,18,"{""1"": 0.12537425756454468, ""2"": 0.8567776679992676, ""3"": 0.017506171017885208, ""4"": 0.00034131595748476684, ""5"": 5.724577931687236e-07}","{""1"": 0.8702124953269958, ""2"": 0.02008497528731823, ""3"": 0.005577682983130217, ""4"": 0.09767648577690125, ""5"": 0.00644840020686388}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.0,"Based on the evaluation criteria, I would rate the summary a 2 out of 5 for relevance. The summary only includes a small portion of the original text, specifically Merson's tweet about Townsend's appearance for Tottenham, and does not provide any context or additional information about the controversy between the two. The summary does not cover the main points of the article, such as Merson's initial criticism of Townsend, Townsend's response, and Merson's subsequent apology. The summary is also redundant, as it only includes the same information as the original tweet.",1,13,"{""1"": 0.01313786581158638, ""2"": 0.7173031568527222, ""3"": 0.2478933483362198, ""4"": 0.02166067808866501, ""5"": 4.916656962450361e-06}","{""1"": 0.7372501492500305, ""2"": 0.03728355094790459, ""3"": 0.015786848962306976, ""4"": 0.20155297219753265, ""5"": 0.008126373402774334}",1,13,"{""1"": 0.01313786581158638, ""2"": 0.7173031568527222, ""3"": 0.2478933483362198, ""4"": 0.02166067808866501, ""5"": 4.916656962450361e-06}","{""1"": 0.7372501492500305, ""2"": 0.03728355094790459, ""3"": 0.015786848962306976, ""4"": 0.20155297219753265, ""5"": 0.008126373402774334}",1,13,"{""1"": 0.01313786581158638, ""2"": 0.7173031568527222, ""3"": 0.2478933483362198, ""4"": 0.02166067808866501, ""5"": 4.916656962450361e-06}","{""1"": 0.7371460199356079, ""2"": 0.037376467138528824, ""3"": 0.01581740938127041, ""4"": 0.20152796804904938, ""5"": 0.008132132701575756}"
